"","rules","support","confidence","coverage","lift","count"
"1","{b127efdabeffb5d559349c7b172eb75d} => {0ea22c1cfbdc755f86b9b54b39c16043}",5.3853776226789e-05,0.5,0.000107707552453578,214.916666666667,5
"2","{8602a61d680a10a82cceeeda0d99ea3d} => {20d83f3ef0e6925fd74bfd59170babf7}",5.3853776226789e-05,0.294117647058824,0.000183102839171083,682.676470588235,5
"3","{20d83f3ef0e6925fd74bfd59170babf7} => {8602a61d680a10a82cceeeda0d99ea3d}",5.3853776226789e-05,0.125,0.000430830209814312,682.676470588235,5
"4","{2a261b5b644fa05f4f2700eb93544f2c} => {1025f0e2d44d7041d6cf58b6550e0bfa}",6.46245314721468e-05,0.12,0.00053853776226789,12.5748081264108,6
"5","{efcd8d2104f1a05d028af7bad20d974b} => {0ea22c1cfbdc755f86b9b54b39c16043}",8.61660419628624e-05,0.177777777777778,0.000484683986041101,76.4148148148148,8
"6","{5343d0649eca2a983820bfe93fc4d17e} => {1f50f920176fa81dab994f9023523100}",6.46245314721468e-05,0.0882352941176471,0.000732411356684331,5.91916014960898,6
"7","{d20b021d3efdf267a402c402a48ea64b} => {4a3ca9315b744ce9f8e9374361493884}",9.69367972082202e-05,0.107142857142857,0.000904743440610056,5.70388269986894,9
"8","{b1fc4f64df5a0e8b6913ab38803c57a9} => {6560211a19b47992c3666cc44a7e94c0}",8.61660419628624e-05,0.0761904761904762,0.00113092930076257,3.97182963022379,8
"9","{6973a06f484aacf400ece213dbf3d946} => {9c0e69c7bf2619675bbadf47b43f655a}",5.3853776226789e-05,0.0568181818181818,0.000947826461591487,35.4042098840757,5
"10","{6973a06f484aacf400ece213dbf3d946} => {0b90b6df587eb83608a64ea8b390cf07}",7.53952867175046e-05,0.0795454545454545,0.000947826461591487,45.8715415019763,7
"11","{6973a06f484aacf400ece213dbf3d946} => {f457c46070d02cadd8a68551231220dd}",0.000107707552453578,0.113636363636364,0.000947826461591487,55.8225108225108,10
"12","{f457c46070d02cadd8a68551231220dd} => {6973a06f484aacf400ece213dbf3d946}",0.000107707552453578,0.0529100529100529,0.00203567274137263,55.8225108225108,10
"13","{1c68394e931a64f90ea236c5ea590300} => {88460e8ebdecbfecb5f9601833981930}",7.53952867175046e-05,0.05,0.00150790573435009,19.4234309623431,7
"14","{f457c46070d02cadd8a68551231220dd} => {88460e8ebdecbfecb5f9601833981930}",0.000118478307698936,0.0582010582010582,0.00203567274137262,22.6092847180713,11
"15","{d1c281d3ae149232351cd8c8cc885f0d} => {4a3ca9315b744ce9f8e9374361493884}",0.000140019818189651,0.062200956937799,0.00225108784627978,3.31134498046618,13
