"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Oct 2018",464.019972517389,320.462541496383,607.577403538395,244.467828008325,683.572117026453
"Nov 2018",480.622284552038,330.968247527781,630.276321576295,251.74618577101,709.498383333066
"Dec 2018",455.455947261062,305.2847577266,605.627136795523,225.788931967763,685.122962554361
"Jan 2019",437.567081936072,287.351118681619,587.783045190525,207.831591147134,667.30257272501
"Feb 2019",524.228803307934,374.008957025113,674.448649590755,294.487373939577,753.970232676291
"Mar 2019",474.976289813649,324.75610672299,625.196472904308,245.234345342155,704.718234285143
"Apr 2019",542.056800920627,391.836588615405,692.277013225848,312.314811769315,771.798790071939
"May 2019",531.11251655146,380.892301712178,681.332731390743,301.370523524637,760.854509578284
"Jun 2019",509.619067309985,359.398852250899,659.839282369071,279.877073947,739.361060672969
"Jul 2019",502.679173730867,352.458958652715,652.899388809018,272.937180338724,732.42116712301
"Aug 2019",454.05358521562,303.833370135815,604.273800295425,224.311591820948,683.795578610292
"Sep 2019",502.891970753382,352.671755673433,653.112185833331,273.14997735849,732.633964148273
