"","MnthYr","total_CLV"
"1","2015-01",473.374419354839
"2","2015-02",201.746548387097
"3","2015-03",843.214825396825
"4","2015-04",463.116116666667
"5","2015-05",411.897471428571
"6","2015-06",503.990501694915
"7","2015-07",522.013234375
"8","2015-08",408.33797761194
"9","2015-09",699.644834482759
"10","2015-10",440.079256097561
"11","2015-11",606.878728461539
"12","2015-12",492.461956692913
"13","2016-01",645.248485714286
"14","2016-02",331.550863414634
"15","2016-03",444.886144927536
"16","2016-04",487.40011971831
"17","2016-05",452.877440298507
"18","2016-06",361.352
"19","2016-07",470.158015873016
"20","2016-08",596.472034375
"21","2016-09",503.450861788618
"22","2016-10",406.906537037037
"23","2016-11",546.716465517241
"24","2016-12",499.355608888889
"25","2017-01",389.676270833333
"26","2017-02",676.805837209302
"27","2017-03",553.420388235294
"28","2017-04",474.822474358974
"29","2017-05",590.937284210526
"30","2017-06",445.686688172043
"31","2017-07",433.575344827586
"32","2017-08",404.410394252874
"33","2017-09",379.93285739645
"34","2017-10",651.153769230769
"35","2017-11",505.756334117647
"36","2017-12",615.448589041096
"37","2018-01",666.581682539683
"38","2018-02",383.096103846154
"39","2018-03",544.843704201681
"40","2018-04",323.820116346154
"41","2018-05",359.854055357143
"42","2018-06",430.754604464286
"43","2018-07",453.636509803922
"44","2018-08",614.000079207921
"45","2018-09",452.935793814433
"46","2018-10",595.316116923077
"47","2018-11",537.267424107143
"48","2018-12",424.58585136612
